City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,nanyang,32.9947,112.5328,42.85,53,19,1.99,CN,1679776061
311,fairbanks,64.8378,-147.7164,16.21,62,100,0.0,US,1679775766
312,kudahuvadhoo,2.6708,72.8944,81.34,78,0,5.17,MV,1679776062
313,kruisfontein,-34.0033,24.7314,61.88,67,0,6.96,ZA,1679775903
314,sidi ali,36.0998,0.4206,60.78,48,6,3.38,DZ,1679776062
315,dunmore east,52.1514,-6.9861,50.68,82,75,11.5,IE,1679776063
316,kristiinankaupunki,62.2743,21.376,20.1,82,100,8.86,FI,1679776064
317,raga,8.4596,25.678,83.03,49,51,8.46,SS,1679776065
318,kamenka,51.3223,42.7678,49.51,77,96,7.43,RU,1679776065
319,svetlogorsk,52.6333,29.7333,48.24,97,100,2.1,BY,1679776065
320,hun,29.1268,15.9477,64.76,23,0,2.68,LY,1679776066
321,yuncheng,35.0231,110.9928,47.71,72,8,5.79,CN,1679776066
322,neuquen,-38.9516,-68.0591,75.09,25,0,4.61,AR,1679775878
323,yarada,17.65,83.2667,81.19,71,81,4.63,IN,1679776067
324,hirara,24.8,125.2833,69.66,88,100,19.57,JP,1679776072
325,razole,16.4833,81.8333,76.87,87,99,4.09,IN,1679776072
326,toktogul,41.8708,72.9402,47.46,54,8,2.91,KG,1679776072
327,ambulu,-8.345,113.6058,74.84,91,100,3.36,ID,1679776073
328,koshurnikovo,54.1667,93.3,21.54,98,96,2.57,RU,1679776073
329,nyzhnya duvanka,49.5846,38.1743,51.37,79,100,12.1,UA,1679776074
330,husavik,66.0449,-17.3389,22.91,89,100,7.4,IS,1679776074
331,port keats,-14.25,129.55,78.28,75,58,6.78,AU,1679776074
332,rognan,67.0953,15.3878,26.89,80,75,9.1,NO,1679776075
333,saint-joseph,-21.3667,55.6167,75.58,84,24,9.4,RE,1679776075
334,ketchikan,55.3422,-131.6461,43.27,61,75,10.36,US,1679776075
335,bandarbeyla,9.4942,50.8122,81.37,73,90,9.06,SO,1679776076
336,paita,-5.0892,-81.1144,82.67,66,45,12.24,PE,1679776076
337,krasnoselkup,65.7,82.4667,7.56,99,93,8.41,RU,1679775884
338,lebu,-37.6167,-73.65,58.71,67,5,21.3,CL,1679775903
339,nikolskoye,59.7035,30.7861,33.69,94,79,2.33,RU,1679775892
340,ranong,9.9658,98.6348,76.03,88,32,2.98,TH,1679776077
341,takaungu,-3.6837,39.8566,80.98,81,44,12.35,KE,1679776078
342,schluchtern,50.3489,9.5253,48.88,64,100,15.46,DE,1679776078
343,wufeng,27.45,104.8333,41.29,91,100,2.1,CN,1679776079
344,pangnirtung,66.1451,-65.7125,10.87,79,100,2.57,CA,1679776079
345,sol-iletsk,51.1631,54.9918,43.7,81,77,4.18,RU,1679776079
346,sobolevo,54.4299,31.8996,43.11,78,100,0.87,RU,1679776080
347,eyl,7.9803,49.8164,81.57,69,33,12.46,SO,1679776080
348,sheremetyevskiy,55.98,37.4911,44.96,93,40,7.0,RU,1679776081
